"BOARD_ID","TYPE","DATA__NAME","DATA__VALUE","DATA__DELTA_T"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","0.417548","276"
"","","ay","0.97029","276"
"","","az","-3.658626","276"
"","","gx","70.23625","276"
"","","gy","12.29375","276"
"","","gz","5.1625","276"
"","","mx","0.20426","276"
"","","my","0.65226","276"
"","","mz","-0.12124","276"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","0.417548","276"
"","","ay","0.97029","276"
"","","az","-3.658626","276"
"","","gx","70.23625","276"
"","","gy","12.29375","276"
"","","gz","5.1625","276"
"","","mx","0.20426","276"
"","","my","0.65226","276"
"","","mz","-0.12124","276"
"Sensor_test_R","9dof_imu","ax","1.069592","255"
"","","ay","0.492323","255"
"","","az","-2.078765","255"
"","","gx","-14.945","255"
"","","gy","-7.67375","255"
"","","gz","-0.5425","255"
"","","mx","0.1813","255"
"","","my","0.66486","255"
"","","mz","-0.0973","255"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","0.417548","276"
"","","ay","0.97029","276"
"","","az","-3.658626","276"
"","","gx","70.23625","276"
"","","gy","12.29375","276"
"","","gz","5.1625","276"
"","","mx","0.20426","276"
"","","my","0.65226","276"
"","","mz","-0.12124","276"
"Sensor_test_R","9dof_imu","ax","1.069592","255"
"","","ay","0.492323","255"
"","","az","-2.078765","255"
"","","gx","-14.945","255"
"","","gy","-7.67375","255"
"","","gz","-0.5425","255"
"","","mx","0.1813","255"
"","","my","0.66486","255"
"","","mz","-0.0973","255"
"Sensor_test_R","9dof_imu","ax","-10.56431","251"
"","","ay","-19.59961","251"
"","","az","-18.42593","251"
"","","gx","176.9337","251"
"","","gy","263.5325","251"
"","","gz","208.0575","251"
"","","mx","0.11886","251"
"","","my","0.62594","251"
"","","mz","-0.13692","251"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","0.417548","276"
"","","ay","0.97029","276"
"","","az","-3.658626","276"
"","","gx","70.23625","276"
"","","gy","12.29375","276"
"","","gz","5.1625","276"
"","","mx","0.20426","276"
"","","my","0.65226","276"
"","","mz","-0.12124","276"
"Sensor_test_R","9dof_imu","ax","1.069592","255"
"","","ay","0.492323","255"
"","","az","-2.078765","255"
"","","gx","-14.945","255"
"","","gy","-7.67375","255"
"","","gz","-0.5425","255"
"","","mx","0.1813","255"
"","","my","0.66486","255"
"","","mz","-0.0973","255"
"Sensor_test_R","9dof_imu","ax","-10.56431","251"
"","","ay","-19.59961","251"
"","","az","-18.42593","251"
"","","gx","176.9337","251"
"","","gy","263.5325","251"
"","","gz","208.0575","251"
"","","mx","0.11886","251"
"","","my","0.62594","251"
"","","mz","-0.13692","251"
"Sensor_test_R","9dof_imu","ax","0.435494","249"
"","","ay","5.341977","249"
"","","az","2.194817","249"
"","","gx","59.42125","249"
"","","gy","-57.68","249"
"","","gz","-0.0875","249"
"","","mx","0.25354","249"
"","","my","0.64946","249"
"","","mz","-0.0896","249"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
"","","mx","0.40978","275"
"","","my","-0.03458","275"
"","","mz","-0.01596","275"
"Sensor_test_R","9dof_imu","ax","-6.625726","254"
"","","ay","10.11985","254"
"","","az","11.67339","254"
"","","gx","185.0188","254"
"","","gy","-11.4275","254"
"","","gz","92.96","254"
"","","mx","0.25662","254"
"","","my","0.0119","254"
"","","mz","-0.25844","254"
"Sensor_test_R","9dof_imu","ax","-3.61735","250"
"","","ay","-0.181256","250"
"","","az","4.452445","250"
"","","gx","172.3925","250"
"","","gy","-31.26375","250"
"","","gz","64.44375","250"
"","","mx","0.1337","250"
"","","my","0.42378","250"
"","","mz","-0.34762","250"
"Sensor_test_R","9dof_imu","ax","-0.11007","260"
"","","ay","-0.077169","260"
"","","az","0.844666","260"
"","","gx","37.59","260"
"","","gy","-73.63125","260"
"","","gz","31.885","260"
"","","mx","0.1351","260"
"","","my","0.60634","260"
"","","mz","-0.20384","260"
"Sensor_test_R","9dof_imu","ax","0.417548","276"
"","","ay","0.97029","276"
"","","az","-3.658626","276"
"","","gx","70.23625","276"
"","","gy","12.29375","276"
"","","gz","5.1625","276"
"","","mx","0.20426","276"
"","","my","0.65226","276"
"","","mz","-0.12124","276"
"Sensor_test_R","9dof_imu","ax","1.069592","255"
"","","ay","0.492323","255"
"","","az","-2.078765","255"
"","","gx","-14.945","255"
"","","gy","-7.67375","255"
"","","gz","-0.5425","255"
"","","mx","0.1813","255"
"","","my","0.66486","255"
"","","mz","-0.0973","255"
"Sensor_test_R","9dof_imu","ax","-10.56431","251"
"","","ay","-19.59961","251"
"","","az","-18.42593","251"
"","","gx","176.9337","251"
"","","gy","263.5325","251"
"","","gz","208.0575","251"
"","","mx","0.11886","251"
"","","my","0.62594","251"
"","","mz","-0.13692","251"
"Sensor_test_R","9dof_imu","ax","0.435494","249"
"","","ay","5.341977","249"
"","","az","2.194817","249"
"","","gx","59.42125","249"
"","","gy","-57.68","249"
"","","gz","-0.0875","249"
"","","mx","0.25354","249"
"","","my","0.64946","249"
"","","mz","-0.0896","249"
"Sensor_test_R","9dof_imu","ax","0.39003","250"
"","","ay","-6.932007","250"
"","","az","-4.325027","250"
"","","gx","26.06625","250"
"","","gy","36.53125","250"
"","","gz","-34.88625","250"
"","","mx","0.21434","250"
"","","my","0.6461","250"
"","","mz","-0.03794","250"
"Sensor_test_R","9dof_imu","ax","1.956731","275"
"","","ay","11.24328","275"
"","","az","8.149955","275"
"","","gx","33.3725","275"
"","","gy","-105.21","275"
"","","gz","37.94","275"
