"BOARD_ID","TYPE","DATA__NAME","DATA__VALUE","DATA__DELTA_T"
"Sensor_test_R","9dof_imu","ax","4.149753","253"
"","","ay","8.504689","253"
"","","az","-1.810769","253"
"","","gx","0.525","253"
"","","gy","3.63125","253"
"","","gz","-0.07875","253"
"","","mx","0.48986","253"
"","","my","0.1253","253"
"","","mz","0.084","253"
"Sensor_test_R","9dof_imu","ax","4.149753","253"
"","","ay","8.504689","253"
"","","az","-1.810769","253"
"","","gx","0.525","253"
"","","gy","3.63125","253"
"","","gz","-0.07875","253"
"","","mx","0.48986","253"
"","","my","0.1253","253"
"","","mz","0.084","253"
"Sensor_test_R","9dof_imu","ax","4.128217","257"
"","","ay","8.706286","257"
"","","az","-1.806581","257"
"","","gx","-1.96","257"
"","","gy","5.83625","257"
"","","gz","-1.05","257"
"","","mx","0.48146","257"
"","","my","0.12194","257"
"","","mz","0.09702","257"
"Sensor_test_R","9dof_imu","ax","4.149753","253"
"","","ay","8.504689","253"
"","","az","-1.810769","253"
"","","gx","0.525","253"
"","","gy","3.63125","253"
"","","gz","-0.07875","253"
"","","mx","0.48986","253"
"","","my","0.1253","253"
"","","mz","0.084","253"
"Sensor_test_R","9dof_imu","ax","4.128217","257"
"","","ay","8.706286","257"
"","","az","-1.806581","257"
"","","gx","-1.96","257"
"","","gy","5.83625","257"
"","","gz","-1.05","257"
"","","mx","0.48146","257"
"","","my","0.12194","257"
"","","mz","0.09702","257"
"Sensor_test_R","9dof_imu","ax","4.251448","252"
"","","ay","8.476574","252"
"","","az","-1.788635","252"
"","","gx","-1.91625","252"
"","","gy","0.21875","252"
"","","gz","1.505","252"
"","","mx","0.48482","252"
"","","my","0.12446","252"
"","","mz","0.08988","252"
"Sensor_test_R","9dof_imu","ax","4.149753","253"
"","","ay","8.504689","253"
"","","az","-1.810769","253"
"","","gx","0.525","253"
"","","gy","3.63125","253"
"","","gz","-0.07875","253"
"","","mx","0.48986","253"
"","","my","0.1253","253"
"","","mz","0.084","253"
"Sensor_test_R","9dof_imu","ax","4.128217","257"
"","","ay","8.706286","257"
"","","az","-1.806581","257"
"","","gx","-1.96","257"
"","","gy","5.83625","257"
"","","gz","-1.05","257"
"","","mx","0.48146","257"
"","","my","0.12194","257"
"","","mz","0.09702","257"
"Sensor_test_R","9dof_imu","ax","4.251448","252"
"","","ay","8.476574","252"
"","","az","-1.788635","252"
"","","gx","-1.91625","252"
"","","gy","0.21875","252"
"","","gz","1.505","252"
"","","mx","0.48482","252"
"","","my","0.12446","252"
"","","mz","0.08988","252"
"Sensor_test_R","9dof_imu","ax","4.292126","259"
"","","ay","8.443673","259"
"","","az","-1.785644","259"
"","","gx","1.82","259"
"","","gy","0.0875","259"
"","","gz","2.31875","259"
"","","mx","0.47614","259"
"","","my","0.11998","259"
"","","mz","0.09436","259"
"Sensor_test_R","9dof_imu","ax","4.149753","253"
"","","ay","8.504689","253"
"","","az","-1.810769","253"
"","","gx","0.525","253"
"","","gy","3.63125","253"
"","","gz","-0.07875","253"
"","","mx","0.48986","253"
"","","my","0.1253","253"
"","","mz","0.084","253"
"Sensor_test_R","9dof_imu","ax","4.128217","257"
"","","ay","8.706286","257"
"","","az","-1.806581","257"
"","","gx","-1.96","257"
"","","gy","5.83625","257"
"","","gz","-1.05","257"
"","","mx","0.48146","257"
"","","my","0.12194","257"
