"BOARD_ID","TYPE","DATA__NAME","DATA__VALUE","DATA__DELTA_T"
"Sensor_test_R","9dof_imu","ax","-10.68814","250"
"","","ay","-15.25963","250"
"","","az","-0.197408","250"
"","","gx","92.21625","250"
"","","gy","-14.84875","250"
"","","gz","-62.34375","250"
"","","mx","0.18942","250"
"","","my","-0.1043","250"
"","","mz","0.01428","250"
"Sensor_test_R","9dof_imu","ax","-10.68814","250"
"","","ay","-15.25963","250"
"","","az","-0.197408","250"
"","","gx","92.21625","250"
"","","gy","-14.84875","250"
"","","gz","-62.34375","250"
"","","mx","0.18942","250"
"","","my","-0.1043","250"
"","","mz","0.01428","250"
"Sensor_test_R","9dof_imu","ax","8.840881","250"
"","","ay","19.59961","250"
"","","az","-10.75993","250"
"","","gx","-152.2937","250"
"","","gy","109.655","250"
"","","gz","247.66","250"
"","","mx","-0.0861","250"
"","","my","0.04606","250"
"","","mz","-0.0875","250"
"Sensor_test_R","9dof_imu","ax","-10.68814","250"
"","","ay","-15.25963","250"
"","","az","-0.197408","250"
"","","gx","92.21625","250"
"","","gy","-14.84875","250"
"","","gz","-62.34375","250"
"","","mx","0.18942","250"
"","","my","-0.1043","250"
"","","mz","0.01428","250"
"Sensor_test_R","9dof_imu","ax","8.840881","250"
"","","ay","19.59961","250"
"","","az","-10.75993","250"
"","","gx","-152.2937","250"
"","","gy","109.655","250"
"","","gz","247.66","250"
"","","mx","-0.0861","250"
"","","my","0.04606","250"
"","","mz","-0.0875","250"
"Sensor_test_R","9dof_imu","ax","-9.072985","249"
"","","ay","19.59961","249"
"","","az","19.48057","249"
"","","gx","7.5425","249"
"","","gy","-224.3237","249"
"","","gz","-216.2475","249"
"","","mx","-0.12838","249"
"","","my","0.00294","249"
"","","mz","-0.14448","249"
"Sensor_test_R","9dof_imu","ax","-10.68814","250"
"","","ay","-15.25963","250"
"","","az","-0.197408","250"
"","","gx","92.21625","250"
"","","gy","-14.84875","250"
"","","gz","-62.34375","250"
"","","mx","0.18942","250"
"","","my","-0.1043","250"
"","","mz","0.01428","250"
"Sensor_test_R","9dof_imu","ax","8.840881","250"
"","","ay","19.59961","250"
"","","az","-10.75993","250"
